20:58:03 - INFO    	|    Train
21:04:08 - INFO    	|    -456.9703674951963
21:04:09 - INFO    	|    -216.78492663696517
21:04:11 - INFO    	|    -136.47027370283493
21:04:13 - INFO    	|    -417.9296972344593
21:04:15 - INFO    	|    -372.62442291572927
21:04:16 - INFO    	|    -106.49543735852487
21:04:17 - INFO    	|    -72.20424494680655
21:04:19 - INFO    	|    -76.87219479948962
21:04:20 - INFO    	|    -307.20096621034713
21:04:22 - INFO    	|    -271.66415786641
21:04:23 - INFO    	|    -334.0648483553643
21:04:25 - INFO    	|    -93.47485603927703
21:04:27 - INFO    	|    -109.23390699606423
21:04:29 - INFO    	|    -99.90662191625988
21:04:30 - INFO    	|    -102.20616217960813
21:04:32 - INFO    	|    -282.7971217010038
21:04:33 - INFO    	|    -59.2019635105823
21:04:35 - INFO    	|    -128.5478753416707
21:04:38 - INFO    	|    -38.11483650797824
21:04:40 - INFO    	|    -98.57386435027877
21:04:42 - INFO    	|    -297.79639099379983
21:04:44 - INFO    	|    -98.67248157818679
21:04:45 - INFO    	|    -62.7104268205222
21:04:46 - INFO    	|    -103.02462153220921
21:04:48 - INFO    	|    -113.01310809752216
21:04:50 - INFO    	|    -119.5303913796761
21:04:52 - INFO    	|    -334.5707762071477
21:04:54 - INFO    	|    -83.8832072288728
21:04:55 - INFO    	|    -97.09656143767174
21:04:57 - INFO    	|    -95.19570493600595
21:04:59 - INFO    	|    -199.68109984628148
21:05:01 - INFO    	|    -4.351214153574418
21:05:03 - INFO    	|    -221.76429514795325
21:05:05 - INFO    	|    -63.97814572746682
21:05:06 - INFO    	|    -92.51644414939068
21:05:08 - INFO    	|    -142.48954299835648
21:05:11 - INFO    	|    -142.96055236199666
21:05:13 - INFO    	|    -123.8727721979914
21:05:14 - INFO    	|    -92.69464838744014
21:05:16 - INFO    	|    -135.09723202955485
21:05:19 - INFO    	|    -431.8445098042986
21:05:20 - INFO    	|    -118.21287374533696
21:05:22 - INFO    	|    -229.37014177505245
21:05:24 - INFO    	|    -214.01153338885925
21:05:25 - INFO    	|    -234.14995679341968
21:05:27 - INFO    	|    -144.02198944755767
21:05:29 - INFO    	|    -130.84564976991425
21:05:31 - INFO    	|    -318.6945102537907
21:05:32 - INFO    	|    -440.196958245962
21:05:34 - INFO    	|    -259.1551459948871
21:05:37 - INFO    	|    -455.54513899192074
21:05:38 - INFO    	|    -204.85035586442922
21:05:40 - INFO    	|    -222.80114119861142
21:05:42 - INFO    	|    -163.0392354567586
21:05:44 - INFO    	|    -119.1282765955039
21:05:45 - INFO    	|    -108.08374725657066
21:05:48 - INFO    	|    -129.8788065172652
21:05:50 - INFO    	|    -321.6264722800483
21:05:52 - INFO    	|    -289.88810316512894
21:05:54 - INFO    	|    -116.25928659000876
21:05:55 - INFO    	|    -101.16640582516244
21:05:57 - INFO    	|    -243.8102836019303
21:05:59 - INFO    	|    -98.81965965988522
21:06:01 - INFO    	|    -177.9179331401757
21:06:03 - INFO    	|    -317.38629689637116
21:06:05 - INFO    	|    -176.19112071382511
21:06:06 - INFO    	|    -184.94527918428065
21:06:08 - INFO    	|    4.295279420918433
21:06:11 - INFO    	|    -81.58867307193768
21:06:13 - INFO    	|    -328.0602458897936
21:06:14 - INFO    	|    -209.1277002429732
21:06:16 - INFO    	|    -118.75514089361931
21:06:17 - INFO    	|    -234.9557120075902
21:06:18 - INFO    	|    -71.05140444508508
